group,ID,perspective_fed_indian,perspective_fed_german,vaccinated,party,migration_background,run1_exp8,cash,doses,run2_exp8,exp7_money2,exp7_doses2,vignr,round,exp7_money1,exp7_doses1,trading_importance,risk,deal,id,others_number,others_giving,others_average,risk_factor,trading_factor,others_number_norm,others_giving_norm,cash_billions,cash_billions_log,solidarity_behaviour,solidarity_attitude,treatment_video,c_0031_w1,c_0031_w2,c_0031_w3,c_0032_w1,c_0032_w2,vignette3,vignette4,vignette5,vignette6,vignette1,vignette2,vignette3_w4,vignette4_w4,conjoint_choice1_exp3,conjoint_rating1_exp3,conjoint_rating2_exp3,conjoint_choice2_exp3,conjoint_rating3_exp3,conjoint_rating4_exp3,conjoint_choice3_exp3,conjoint_rating5_exp3,conjoint_rating6_exp3,conjoint_choice1_exp7,conjoint_rating1_exp7,conjoint_rating2_exp7,conjoint_choice2_exp7,conjoint_rating3_exp7,conjoint_rating4_exp7
4,5692264366455,6,6,1,Greens,1,8,0.002,30,13,NA,NA,13,2,0.002,100,0.500332541567696,-0.49966745843230403,40 give 20b,5692264366455,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,2,1.0986122886681098,0.6,0,0,NA,153,NA,NA,173,124,100,53,12,NA,NA,NA,NA,1,9,3,2,3,6,2,5,6,NA,NA,NA,NA,NA,NA
4,5692295984085,6,7,1,SPD,0,9,0.001,120,20,NA,NA,20,2,0.002,120,0.500332541567696,0.500332541567696,40 give 40 bn,5692295984085,4,4,1,High,High,1.598669833729216,1.5982897862232779,1,0.6931471805599453,0,0,0,NA,112,NA,NA,95,24,161,73,76,NA,NA,NA,NA,1,8,5,1,6,5,1,7,5,NA,NA,NA,NA,NA,NA
4,5692640191695,5,3,1,Greens,0,18,0.002,130,2,NA,NA,2,2,0.002,130,-0.49966745843230403,-0.49966745843230403,20 give 20 bn,5692640191695,2,2,1,Low,Low,-0.401330166270784,-0.4017102137767221,2,1.0986122886681098,0.8,1,1,NA,95,NA,NA,59,191,121,154,49,NA,NA,NA,NA,2,3,8,2,3,9,1,8,6,NA,NA,NA,NA,NA,NA
5,5692869610695,5,7,1,No party,0,13,0.001,100,3,NA,NA,3,2,0.001,100,-0.49966745843230403,-0.49966745843230403,40 give 20b,5692869610695,4,2,0.5,Low,Low,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5692876163640,6,3,1,No party,0,3,2e-4,155,6,NA,NA,6,2,1.7999999999999998e-4,160,-0.49966745843230403,0.500332541567696,No deal,5692876163640,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,0.2,0.1823215567939546,0.4,0,0,NA,66,NA,NA,95,7,163,128,123,NA,NA,NA,NA,1,6,5,2,5,5,1,5,5,NA,NA,NA,NA,NA,NA
4,5692930274880,4,4,1,No party,0,2,0,1,10,NA,NA,10,2,0,1,-0.49966745843230403,0.500332541567696,40 give 40 bn,5692930274880,4,4,1,High,Low,1.598669833729216,1.5982897862232779,0,0,0.4,1,1,NA,147,NA,NA,127,27,36,22,70,NA,NA,NA,NA,2,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
5,5693010663825,1,7,0,AFD,0,10,0,50,17,NA,NA,17,2,0,50,0.500332541567696,0.500332541567696,20 give 20 bn,5693010663825,2,2,1,High,High,-0.401330166270784,-0.4017102137767221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5693073965010,4,4,1,No party,0,10,0.001,200,8,NA,NA,8,2,0.001,200,-0.49966745843230403,0.500332541567696,40 give 20b,5693073965010,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,1,0,1,NA,125,NA,NA,76,44,137,9,40,NA,NA,NA,NA,1,7,4,2,5,5,1,5,5,NA,NA,NA,NA,NA,NA
4,5693158283085,6,2,1,Left,0,10,0.003,50,19,NA,NA,19,2,0.003,50,0.500332541567696,0.500332541567696,20 give 40 bn,5693158283085,2,4,2,High,High,-0.401330166270784,1.5982897862232779,3,1.3862943611198906,0.8,1,1,NA,63,NA,NA,23,39,139,135,123,NA,NA,NA,NA,2,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
4,5693292836010,5,6,1,Greens,0,6,0.02,50,11,NA,NA,11,2,0.05,80,0.500332541567696,-0.49966745843230403,No deal,5693292836010,0,0,0,Low,High,-2.401330166270784,-2.401710213776722,20,3.044522437723423,1,1,1,NA,31,NA,NA,68,10,97,128,14,NA,NA,NA,NA,1,5,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA
4,5693464227825,3,6,1,No party,0,11,1e-4,100,6,NA,NA,6,2,1e-4,100,-0.49966745843230403,0.500332541567696,No deal,5693464227825,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,0.1,0.09531017980432493,0.8,1,0,NA,39,NA,NA,112,145,113,6,101,NA,NA,NA,NA,2,5,7,2,5,7,2,5,7,NA,NA,NA,NA,NA,NA
4,5693499761400,2,7,1,CDU.CSU,0,4,5e-4,1,13,NA,NA,13,2,5e-4,1,0.500332541567696,-0.49966745843230403,40 give 20b,5693499761400,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,0.5,0.4054651081081644,0.4,0,0,NA,132,NA,NA,86,133,89,111,170,NA,NA,NA,NA,2,0,2,2,0,2,1,1,0,NA,NA,NA,NA,NA,NA
4,5693535466380,6,3,1,SPD,0,18,0.002,120,8,NA,NA,8,2,0.002,120,-0.49966745843230403,0.500332541567696,40 give 20b,5693535466380,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,2,1.0986122886681098,1,1,1,NA,1,NA,NA,146,54,149,11,191,NA,NA,NA,NA,1,8,5,1,9,4,1,7,6,NA,NA,NA,NA,NA,NA
4,5693687054325,7,4,0,No party,0,20,5e-4,100,4,NA,NA,4,2,3e-4,50,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5693687054325,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,0.5,0.4054651081081644,0.4,1,0,NA,129,NA,NA,185,67,142,47,29,NA,NA,NA,NA,1,10,5,1,10,2,2,2,10,NA,NA,NA,NA,NA,NA
4,5693730617565,6,2,1,CDU.CSU,0,1,0.002,70,5,NA,NA,5,2,0.001,50,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5693730617565,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,2,1.0986122886681098,0.4,1,0,NA,176,NA,NA,159,13,175,71,20,NA,NA,NA,NA,1,8,5,2,6,7,2,5,8,NA,NA,NA,NA,NA,NA
4,5693768840880,1,7,1,AFD,0,14,0.003,5,8,NA,NA,8,2,0.002,4,-0.49966745843230403,0.500332541567696,40 give 20b,5693768840880,4,2,0.5,High,Low,1.598669833729216,-0.4017102137767221,3,1.3862943611198906,0,0,1,NA,50,NA,NA,138,60,17,187,10,NA,NA,NA,NA,1,5,5,2,5,5,2,5,5,NA,NA,NA,NA,NA,NA
4,5693909814900,4,4,0,AFD,0,13,0.001,100,12,NA,NA,12,2,0.001,100,0.500332541567696,-0.49966745843230403,20 give 20 bn,5693909814900,2,2,1,Low,High,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,0.6,1,1,NA,75,NA,NA,132,90,23,149,165,NA,NA,NA,NA,1,10,10,2,10,10,1,10,10,NA,NA,NA,NA,NA,NA
4,5693949369900,2,6,1,CDU.CSU,0,1,0.015,130,7,NA,NA,7,2,0.005,70,-0.49966745843230403,0.500332541567696,20 give 20 bn,5693949369900,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,15,2.772588722239781,1,1,1,NA,182,NA,NA,177,127,29,76,85,NA,NA,NA,NA,2,6,8,2,8,10,2,6,10,NA,NA,NA,NA,NA,NA
4,5693981027085,1,7,1,No party,0,13,0.001,200,5,NA,NA,5,2,0.002,200,-0.49966745843230403,-0.49966745843230403,40 give 40 bn,5693981027085,4,4,1,Low,Low,1.598669833729216,1.5982897862232779,1,0.6931471805599453,1,1,1,NA,110,NA,NA,145,130,132,11,124,NA,NA,NA,NA,2,10,10,1,10,10,1,10,10,NA,NA,NA,NA,NA,NA
4,5694050933955,4,4,1,Left,0,2,0.005,10,18,NA,NA,18,2,0.005,5,0.500332541567696,0.500332541567696,40 give 20b,5694050933955,4,2,0.5,High,High,1.598669833729216,-0.4017102137767221,5,1.791759469228055,0.6,1,0,NA,47,NA,NA,4,103,149,172,108,NA,NA,NA,NA,1,8,2,2,3,9,1,7,3,NA,NA,NA,NA,NA,NA
5,5694070685085,3,6,1,SPD,0,6,0.003,130,2,NA,NA,2,2,0.005,130,-0.49966745843230403,-0.49966745843230403,20 give 20 bn,5694070685085,2,2,1,Low,Low,-0.401330166270784,-0.4017102137767221,3,1.3862943611198906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5694119522325,1,7,0,Other,0,16,0.001,130,6,NA,NA,6,2,0.001,130,-0.49966745843230403,0.500332541567696,No deal,5694119522325,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,0.4,0,1,NA,2,NA,NA,88,84,68,52,50,NA,NA,NA,NA,1,10,10,1,10,10,1,10,10,NA,NA,NA,NA,NA,NA
4,5694222299400,7,3,1,Greens,0,9,0.001,100,13,NA,NA,13,2,0.005,100,0.500332541567696,-0.49966745843230403,40 give 20b,5694222299400,4,2,0.5,Low,High,1.598669833729216,-0.4017102137767221,1,0.6931471805599453,1,1,1,NA,86,NA,NA,53,60,80,52,178,NA,NA,NA,NA,2,3,10,1,10,0,2,2,10,NA,NA,NA,NA,NA,NA
4,5694471495900,7,2,0,Left,0,9,0.02,200,6,NA,NA,6,2,0.02,200,-0.49966745843230403,0.500332541567696,No deal,5694471495900,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,20,3.044522437723423,1,0,0,NA,62,NA,NA,72,181,54,61,173,NA,NA,NA,NA,2,5,5,1,5,5,2,5,5,NA,NA,NA,NA,NA,NA
4,5694542774010,4,4,1,Greens,0,10,0.002,130,18,NA,NA,18,2,0.001,130,0.500332541567696,0.500332541567696,40 give 20b,5694542774010,4,2,0.5,High,High,1.598669833729216,-0.4017102137767221,2,1.0986122886681098,1,1,1,NA,183,NA,NA,15,91,31,113,148,NA,NA,NA,NA,1,10,5,1,10,5,2,5,10,NA,NA,NA,NA,NA,NA
4,5694557303880,1,4,0,No party,0,19,0.001,130,20,NA,NA,20,2,0,0,0.500332541567696,0.500332541567696,40 give 40 bn,5694557303880,4,4,1,High,High,1.598669833729216,1.5982897862232779,1,0.6931471805599453,0,0,0,NA,14,NA,NA,56,148,51,178,111,NA,NA,NA,NA,1,0,0,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA
